 Perioade,Termekek,Szocialis_retegek,Lakhely,Mertekegyseg,Ertek
2001-01-01,Total,Total,Total,Litri,2.159
2002-01-01,Total,Total,Total,Litri,2.137
2003-01-01,Total,Total,Total,Litri,2.231
2004-01-01,Total,Total,Total,Litri,2.101
2005-01-01,Total,Total,Total,Litri,2.056
2006-01-01,Total,Total,Total,Litri,1.995
2007-01-01,Total,Total,Total,Litri,2.241
2008-01-01,Total,Total,Total,Litri,2.404
2009-01-01,Total,Total,Total,Litri,2.403
2010-01-01,Total,Total,Total,Litri,2.308
2011-01-01,Total,Total,Total,Litri,2.188
2012-01-01,Total,Total,Total,Litri,2.23
2013-01-01,Total,Total,Total,Litri,2.317
2014-01-01,Total,Total,Total,Litri,2.273
2015-01-01,Total,Total,Total,Litri,2.393
2016-01-01,Total,Total,Total,Litri,2.513
2017-01-01,Total,Total,Total,Litri,2.64
2018-01-01,Total,Total,Total,Litri,2.666
2019-01-01,Total,Total,Total,Litri,2.679
2020-01-01,Total,Total,Total,Litri,2.628
2021-01-01,Total,Total,Total,Litri,2.753
2022-01-01,Total,Total,Total,Litri,2.751
2001-01-01,Total,Total,Városi,Litri,1.561
2002-01-01,Total,Total,Városi,Litri,1.513
2003-01-01,Total,Total,Városi,Litri,1.624
2004-01-01,Total,Total,Városi,Litri,1.689
2005-01-01,Total,Total,Városi,Litri,1.678
2006-01-01,Total,Total,Városi,Litri,1.725
2007-01-01,Total,Total,Városi,Litri,1.949
2008-01-01,Total,Total,Városi,Litri,2.068
2009-01-01,Total,Total,Városi,Litri,2.018
2010-01-01,Total,Total,Városi,Litri,1.929
2011-01-01,Total,Total,Városi,Litri,1.817
2012-01-01,Total,Total,Városi,Litri,1.896
2013-01-01,Total,Total,Városi,Litri,2.033
2014-01-01,Total,Total,Városi,Litri,1.959
2015-01-01,Total,Total,Városi,Litri,2.079
2016-01-01,Total,Total,Városi,Litri,2.212
2017-01-01,Total,Total,Városi,Litri,2.35
2018-01-01,Total,Total,Városi,Litri,2.288
2019-01-01,Total,Total,Városi,Litri,2.377
2020-01-01,Total,Total,Városi,Litri,2.263
2021-01-01,Total,Total,Városi,Litri,2.41
2022-01-01,Total,Total,Városi,Litri,2.378
2001-01-01,Total,Total,Vidéki,Litri,2.846
2002-01-01,Total,Total,Vidéki,Litri,2.857
2003-01-01,Total,Total,Vidéki,Litri,2.9
2004-01-01,Total,Total,Vidéki,Litri,2.575
2005-01-01,Total,Total,Vidéki,Litri,2.504
2006-01-01,Total,Total,Vidéki,Litri,2.323
2007-01-01,Total,Total,Vidéki,Litri,2.596
2008-01-01,Total,Total,Vidéki,Litri,2.815
2009-01-01,Total,Total,Vidéki,Litri,2.871
2010-01-01,Total,Total,Vidéki,Litri,2.768
2011-01-01,Total,Total,Vidéki,Litri,2.64
2012-01-01,Total,Total,Vidéki,Litri,2.633
2013-01-01,Total,Total,Vidéki,Litri,2.661
2014-01-01,Total,Total,Vidéki,Litri,2.644
2015-01-01,Total,Total,Vidéki,Litri,2.762
2016-01-01,Total,Total,Vidéki,Litri,2.865
2017-01-01,Total,Total,Vidéki,Litri,2.978
2018-01-01,Total,Total,Vidéki,Litri,3.111
2019-01-01,Total,Total,Vidéki,Litri,3.035
2020-01-01,Total,Total,Vidéki,Litri,3.056
2021-01-01,Total,Total,Vidéki,Litri,3.158
2022-01-01,Total,Total,Vidéki,Litri,3.192
2001-01-01,Total,Alkalmazottak,Total,Litri,1.871
2002-01-01,Total,Alkalmazottak,Total,Litri,1.801
2003-01-01,Total,Alkalmazottak,Total,Litri,1.967
2004-01-01,Total,Alkalmazottak,Total,Litri,1.968
2005-01-01,Total,Alkalmazottak,Total,Litri,1.947
2006-01-01,Total,Alkalmazottak,Total,Litri,1.996
2007-01-01,Total,Alkalmazottak,Total,Litri,2.224
2008-01-01,Total,Alkalmazottak,Total,Litri,2.28
2009-01-01,Total,Alkalmazottak,Total,Litri,2.254
2010-01-01,Total,Alkalmazottak,Total,Litri,2.167
2011-01-01,Total,Alkalmazottak,Total,Litri,2.058
2012-01-01,Total,Alkalmazottak,Total,Litri,2.138
2013-01-01,Total,Alkalmazottak,Total,Litri,2.247
2014-01-01,Total,Alkalmazottak,Total,Litri,2.157
2015-01-01,Total,Alkalmazottak,Total,Litri,2.352
2016-01-01,Total,Alkalmazottak,Total,Litri,2.456
2017-01-01,Total,Alkalmazottak,Total,Litri,2.597
2018-01-01,Total,Alkalmazottak,Total,Litri,2.65
2019-01-01,Total,Alkalmazottak,Total,Litri,2.696
2020-01-01,Total,Alkalmazottak,Total,Litri,2.604
2021-01-01,Total,Alkalmazottak,Total,Litri,2.774
2022-01-01,Total,Alkalmazottak,Total,Litri,2.814
2001-01-01,Total,Alkalmazottak,Városi,Litri,1.649
2002-01-01,Total,Alkalmazottak,Városi,Litri,1.588
2003-01-01,Total,Alkalmazottak,Városi,Litri,1.77
2004-01-01,Total,Alkalmazottak,Városi,Litri,1.807
2005-01-01,Total,Alkalmazottak,Városi,Litri,1.806
2006-01-01,Total,Alkalmazottak,Városi,Litri,1.88
2007-01-01,Total,Alkalmazottak,Városi,Litri,2.116
2008-01-01,Total,Alkalmazottak,Városi,Litri,2.165
2009-01-01,Total,Alkalmazottak,Városi,Litri,2.131
2010-01-01,Total,Alkalmazottak,Városi,Litri,2.036
2011-01-01,Total,Alkalmazottak,Városi,Litri,1.919
2012-01-01,Total,Alkalmazottak,Városi,Litri,2.053
2013-01-01,Total,Alkalmazottak,Városi,Litri,2.169
2014-01-01,Total,Alkalmazottak,Városi,Litri,2.084
2015-01-01,Total,Alkalmazottak,Városi,Litri,2.213
2016-01-01,Total,Alkalmazottak,Városi,Litri,2.312
2017-01-01,Total,Alkalmazottak,Városi,Litri,2.464
2018-01-01,Total,Alkalmazottak,Városi,Litri,2.424
2019-01-01,Total,Alkalmazottak,Városi,Litri,2.554
2020-01-01,Total,Alkalmazottak,Városi,Litri,2.366
2021-01-01,Total,Alkalmazottak,Városi,Litri,2.58
2022-01-01,Total,Alkalmazottak,Városi,Litri,2.538
2001-01-01,Total,Alkalmazottak,Vidéki,Litri,2.577
2002-01-01,Total,Alkalmazottak,Vidéki,Litri,2.501
2003-01-01,Total,Alkalmazottak,Vidéki,Litri,2.566
2004-01-01,Total,Alkalmazottak,Vidéki,Litri,2.411
2005-01-01,Total,Alkalmazottak,Vidéki,Litri,2.379
2006-01-01,Total,Alkalmazottak,Vidéki,Litri,2.333
2007-01-01,Total,Alkalmazottak,Vidéki,Litri,2.53
2008-01-01,Total,Alkalmazottak,Vidéki,Litri,2.585
2009-01-01,Total,Alkalmazottak,Vidéki,Litri,2.577
2010-01-01,Total,Alkalmazottak,Vidéki,Litri,2.52
2011-01-01,Total,Alkalmazottak,Vidéki,Litri,2.441
2012-01-01,Total,Alkalmazottak,Vidéki,Litri,2.358
2013-01-01,Total,Alkalmazottak,Vidéki,Litri,2.456
2014-01-01,Total,Alkalmazottak,Vidéki,Litri,2.344
2015-01-01,Total,Alkalmazottak,Vidéki,Litri,2.648
2016-01-01,Total,Alkalmazottak,Vidéki,Litri,2.762
2017-01-01,Total,Alkalmazottak,Vidéki,Litri,2.852
2018-01-01,Total,Alkalmazottak,Vidéki,Litri,3.084
2019-01-01,Total,Alkalmazottak,Vidéki,Litri,2.977
2020-01-01,Total,Alkalmazottak,Vidéki,Litri,3.034
2021-01-01,Total,Alkalmazottak,Vidéki,Litri,3.124
2022-01-01,Total,Alkalmazottak,Vidéki,Litri,3.3
2001-01-01,Total,Munkanélküliek,Total,Litri,1.552
2002-01-01,Total,Munkanélküliek,Total,Litri,1.438
2003-01-01,Total,Munkanélküliek,Total,Litri,1.585
2004-01-01,Total,Munkanélküliek,Total,Litri,1.558
2005-01-01,Total,Munkanélküliek,Total,Litri,1.533
2006-01-01,Total,Munkanélküliek,Total,Litri,1.454
2007-01-01,Total,Munkanélküliek,Total,Litri,1.584
2008-01-01,Total,Munkanélküliek,Total,Litri,1.704
2009-01-01,Total,Munkanélküliek,Total,Litri,1.681
2010-01-01,Total,Munkanélküliek,Total,Litri,1.667
2011-01-01,Total,Munkanélküliek,Total,Litri,1.591
2012-01-01,Total,Munkanélküliek,Total,Litri,1.551
2013-01-01,Total,Munkanélküliek,Total,Litri,1.67
2014-01-01,Total,Munkanélküliek,Total,Litri,1.569
2015-01-01,Total,Munkanélküliek,Total,Litri,2.023
2016-01-01,Total,Munkanélküliek,Total,Litri,1.965
2017-01-01,Total,Munkanélküliek,Total,Litri,1.833
2018-01-01,Total,Munkanélküliek,Total,Litri,1.95
2019-01-01,Total,Munkanélküliek,Total,Litri,2.232
2020-01-01,Total,Munkanélküliek,Total,Litri,2.003
2021-01-01,Total,Munkanélküliek,Total,Litri,2.028
2022-01-01,Total,Munkanélküliek,Total,Litri,2.025
